Sport_ID,Sport_Name
1,Alpine Skiing
2,Archery
3,Athletics
4,Badminton
5,Baseball
6,Basketball
7,Beach Volleyball
8,Biathlon
9,Bobsleigh
10,Boxing
11,Canoeing
12,Cross Country Skiing
13,Curling
14,Cycling
15,Diving
16,Equestrianism
17,Fencing
18,Figure Skating
19,Football
20,Freestyle Skiing
21,Golf
22,Gymnastics
23,Handball
24,Hockey
25,Ice Hockey
26,Judo
27,Luge
28,Modern Pentathlon
29,Nordic Combined
30,Rhythmic Gymnastics
31,Rowing
32,Rugby Sevens
33,Sailing
34,Shooting
35,Short Track Speed Skating
36,Skeleton
37,Ski Jumping
38,Snowboarding
39,Softball
40,Speed Skating
41,Swimming
42,Synchronized Swimming
43,Table Tennis
44,Taekwondo
45,Tennis
46,Trampolining
47,Triathlon
48,Volleyball
49,Water Polo
50,Weightlifting
51,Wrestling
